subject_id,subject_index,session,group_name,label,wesad_label_id,window_start_s,window_end_s,window_start_ms,window_end_ms,window_start_index_700hz,window_end_index_700hz,window_duration_s,stride_s,subject_pkl_path
S10,0,baseline,calm,0,1,92.85714285714286,112.85714285714286,92857,112857,65000,79000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,102.85714285714286,122.85714285714286,102857,122857,72000,86000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,112.85714285714286,132.85714285714286,112857,132857,79000,93000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,122.85714285714286,142.85714285714286,122857,142857,86000,100000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,132.85714285714286,152.85714285714286,132857,152857,93000,107000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,142.85714285714286,162.85714285714286,142857,162857,100000,114000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,152.85714285714286,172.85714285714286,152857,172857,107000,121000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,162.85714285714286,182.85714285714286,162857,182857,114000,128000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,172.85714285714286,192.85714285714286,172857,192857,121000,135000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,182.85714285714286,202.85714285714286,182857,202857,128000,142000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,192.85714285714286,212.85714285714286,192857,212857,135000,149000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,202.85714285714286,222.85714285714286,202857,222857,142000,156000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,212.85714285714286,232.85714285714286,212857,232857,149000,163000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,222.85714285714286,242.85714285714286,222857,242857,156000,170000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,232.85714285714286,252.85714285714286,232857,252857,163000,177000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,242.85714285714286,262.85714285714283,242857,262857,170000,184000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,252.85714285714286,272.85714285714283,252857,272857,177000,191000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,262.85714285714283,282.85714285714283,262857,282857,184000,198000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,272.85714285714283,292.85714285714283,272857,292857,191000,205000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,282.85714285714283,302.85714285714283,282857,302857,198000,212000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,292.85714285714283,312.85714285714283,292857,312857,205000,219000,20.0,10.0,WESAD\S10\S10.pkl
S10,0,baseline,calm,0,1,302.85714285714283,322.85714285714283,302857,322857,212000,226000,20.0,10.0,WESAD\S10\S10.pkl
