subject_id,subject_index,protocol_version,stage,label,stress_score,split,segment_start_s,segment_end_s,window_start_s,window_duration_s,stride_s,bvp_path,acc_path
S01,0,V1,baseline,0,3.0,train,0.0,247.0,0.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,10.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,20.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,30.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,40.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,50.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,60.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,70.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,80.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,90.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,100.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,110.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,120.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,130.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
S01,0,V1,baseline,0,3.0,train,0.0,247.0,140.0,30.0,10.0,Wearable_Dataset\STRESS\S01\BVP.csv,Wearable_Dataset\STRESS\S01\ACC.csv
